answer,preprocessing_result,sentimen
"Sudah bagus namun lebih bagus lagi ada program khusus dari Ibu khususnya untuk mata kuliah organik, contoh menyediakan waktu diluar jam perkuliahan untuk belajar /menanyakan yang belum jelas Terimakasih.",bagus lebih bagus ada program khusus ibu khusus mata kuliah organik contoh sedia waktu luar jam kuliah ajar tanya belum jelas terimakasih,0
Semangat...,semangat,1
permurahlah nilai tegaskan kepada mhs jangan terlalu teoritis agar mudah dipahami mhs perbanyak soal dan bahas di ruang kuliah,murah nilai tegas mhs jangan terlalu teoritis mudah paham mhs banyak soal bahas ruang kuliah,0
Jangan terlalu cepat menjelaskan,jangan terlalu cepat jelas,0
More Smile !!,more smile,0
Kept smile miss when you teach us !,kept smile miss when you teach us,1
(Y),y,0
Kalau masuk usahakan tepat waktu padahal sudah di ganti jadi 07.15 Tapi kalaun masuk sering sekitar 07.45. ? saya rugi...,kalau masuk usaha tepat waktu padahal di ganti jadi 07 15 kalaun masuk sering 07 45 rugi,0
"Sejauh ini sudah baik sekali, tetap dipertahankan bila perlu harus lebih baik lagi",jauh sudah baik sekali tetap tahan bila perlu lebih baik,0
Cukup,cukup,0
dapat memberikan solusi dari permasalahan yang dihadapai,beri solusi masalah dihadapai,1
Ibu nya telat mulu...,ibu nya telat mulu,1
Ibu sdh sangat baik dlm penyampaian materi kuliah.,ibu sdh sangat baik dlm materi kuliah,1
Kalau ada sesuatu lebih baik di komunikasikan kepada mahasiswa yang lain,kalau sesuatu lebih baik komunikasi mahasiswa lain,1
Ok!!!,,0
Lanjutkan... !,lanjut,0
Tingkatkan lagi Bu...,tingkat bu,0
Perkuliahan sdh baik.,kuliah sdh baik,1
Tingkatkan!!,tingkat,0
Datangnya bisa lebih tepat waktu lagi mungkin,datang lebih tepat waktu mungkin,1
Perkuliahan sudah baik.,kuliah baik,1
Jangan terlambat terus,jangan lambat terus,0
Tidak tepat waktu,tepat waktu,1
Bagus...,bagus,1
Is the best,is the best,1
Lebih Meningkatkan minat belajar mahasiswa.,lebih tingkat minat ajar mahasiswa,0
Sebaiknya bapak dalam menjelaskan itu lebih banyak memberikan contoh2 soal supaya mahasiswa lebih memahami karena banyak mhs yang masih belum paham,baik bapak jelas lebih banyak beri contoh2 soal mahasiswa lebih paham banyak mhs masih paham,0
Tolong dalam mengajar jangan terlalu cepat dan perhatikan yang belum bisa,dalam ajar jangan terlalu cepat perhati belum,0
Penjelasan terlalu cepat dan tolong menambah contoh yang mudah dipahami mahasiswa,jelas terlalu cepat tolong tambah contoh mudah paham mahasiswa,0
Jujur saja aku tak suka kalkulus RUWET...!,jujur aku tak suka kalkulus ruwet,1
Bapak terlalu cepat menerangkan sehingga ....ya gitu dech,bapak terlalu cepat terang ya gitu dech,1
Kurang membuat kita meningkat belajarnya karena materi yang diberikan terlalu membingungkan...,kurang buat tingkat ajar materi beri terlalu bingung,0
Mengajarnya jangan terlalu cepat Pak karena tidak semua berasal dari SMA tapi ada yang lain,ajar jangan terlalu cepat pak tidak semua asal sma ada lain,0
Terimakasih ibu atas semua pembelajaran yang diberikan,terimakasih ibu atas semua ajar beri,0
Penyampaian materi terlalu cepat...,materi terlalu cepat,0
Sebaiknya kalo menjelaskan jangan terlalu cepat,baik kalo jelas jangan terlalu cepat,0
Kalau menerangkan pelajaran jangan sepet-cepet Pak....,kalau terang ajar jangan sepet-cepet pak,1
sudah cukup baik,cukup baik,1
Kalau menerangkan jangan sepet-cepet Pak...,kalau terang jangan sepet-cepet pak,1
Kalau ngajar jangan cepat-cepat Pak...,kalau ngajar jangan cepat pak,1
terimakasih atas ilmu yang ibu sampaikan kepada kami semoga bermanfaat bagi kami kelak pada saat di dunia kerja. Amiin,terimakasih atas ilmu ibu kepada moga manfaat kami kelak saat dunia kerja amiin,1
Ini baru namanya kuliah terimakasih bapak,baru nama kuliah terimakasih bapak,0
Good Job,good job,0
"belajarnya cukup seru, terimakasih bu.",ajar cukup seru terimakasih bu,0
"Saran saya seharusnya dosen dapat mengajar dengan tenang, tidak terburu-buru karena belum tentu mhs yang diajarkan dapat menanggapi dengan cepat...",saran harus dosen ajar tenang buru belum mhs ajar tanggap cepat,0
good job,good job,0
Ya Ampyuuuun... Thanks yo Pak...,ampyuuuun thanks yo pak,1
materi di persingkat untuk dicatat,materi singkat catat,0
Kalau menjelaskan jangan terlalu cepat,kalau jelas jangan terlalu cepat,0
Pak mengajarnya jangan terlalu cepat...,pak ajar jangan terlalu cepat,0
"cara pembelajaran sangat baik, tetapi minta slidenya lebih menarik biar lebih menyenangkan dan mata tidak cepat ngantuk.",cara ajar sangat baik minta slidenya lebih tarik biar lebih senang mata cepat ngantuk,1
Jika menerangkan pelan-pelan dan tulisannya lebih jelas lagi...,terang pelan tulis lebih jelas,1
Kalau menjelaskan jangan terlalu ngebut...,kalau jelas jangan terlalu ngebut,0
mengajarnya menurut saya lebih baik jika di jelaskan lebih detail dan di simulasikan di white board jangan terlalu terpacu pada buku,ajar turut lebih baik jelas lebih detail di simulasi di white board jangan terlalu pacu buku,0
"Untuk Contoh soal-soal lebih diperbanyak lagi, Trims",contoh soal lebih banyak trims,0
"Pak jelasinnya yang pelan-pelan aja biar kita ngerti, jangan terburu-buru...",pak jelasinnya pelan aja biar ngerti jangan buru,1
i like method's mrs annie...,i like method s mrs annie,0
"OK, lanjutkan untuk menjadi lebih baik lagi ",lanjut jadi lebih baik,1
Tetap semangat !!Tugasnya kebanyakan Pak !!,tetap semangat tugas banyak pak,1
"Tugas tiap minggu terlalu banyak , Jangan sampai melewati persentase nilai tugas 20/15 %",tugas tiap minggu terlalu banyak jangan lewat persentase nilai tugas 20 15,0
OK !!,,0
good job... semangat !!!,good job semangat,1
"Ini baru kuliah yang menyenangkan, Lanjut...!",baru kuliah senang lanjut,1
OK,,0
UASnya jangan susah bu.,uasnya jangan susah bu,0
TOP,top,1
Lanjutkan...!! Keren,lanjut keren,1
siip OK,siip,0
Sudah cukup baik,cukup baik,1
good,good,0
beliau sangat menguasai materi kuliah kimia umum,beliau sangat kuasa materi kuliah kimia umum,0
kurang jelas cara penyampaian materi,kurang jelas cara materi,0
jadilah dosen yang bisa jadi panutan bagi mahasiswanya,jadi dosen bisa jadi panutan mahasiswa,0
"sebaiknya bapak dalam menjelaskan, contoh-contoh soal hitung-hitungan di jelaskan secara lebih terperinci.",baik bapak jelas contoh soal hitung jelas cara lebih perinci,0
contoh peristiwa yang berkaitan dengan kimia yangdiberikan kurang jelas,contoh peristiwa kait kimia yangdiberikan kurang jelas,0
"Tolong ibu choirul lebih tegas mengatur kelas agar tidak ramai, soalnya kalau dikasih tahu sesama teman mereka tidak menggubris dan beri sanksi saja buat mereka yg tidak menurut",ibu choirul lebih tegas atur kelas ramai soal kalau kasih tahu sama teman tidak gubris beri sanksi buat yg tidak turut,0
terkadang ma materi yang di jelaskan tidak jelas karena dosen menjelaskan dengan membaca tulisan yang ada slide powerpoint,terkadang ma materi di jelas jelas dosen jelas baca tulis ada slide powerpoint,0
mohon penjelasan materi yang lebih jelas agar kami dapat mudah memehami materi yang diajarkan.,mohon jelas materi lebih jelas kami mudah ham materi ajar,0
is the best,is the best,1
cukuplah menjadi dosen yang baik selalu memberikan motivasi bagi mahasiswa.  cara mengajar dan memberikan nilai cukup baik,cukup jadi dosen baik selalu beri motivasi mahasiswa cara ajar beri nilai cukup baik,1
cukup buat jadi dosen yang baik kepada mahasiswa tapi akan lebih baik jika bapak mengajak dosen yang lain untuk cara mengajar dan memberikan nilainya seperti bapak.,cukup buat jadi dosen baik mahasiswa akan lebih baik bapak ajak dosen lain cara ajar beri nilai bapak,1
"cukuplah buat jadi dosen yang baik dan fear kepada mhs, tapi akan lebih baik jika bpk mengajak dosen yg lain untuk cara mengajar dan memberikan nilai seperti bpk.",cukup buat jadi dosen baik fear mhs akan lebih baik bpk ajak dosen yg untuk cara ajar beri nilai bpk,1
good job,good job,0
pada waktu mengajar kami cukup jelas dengan apa yang telah beliau sampaikan.,waktu ajar cukup jelas apa telah beliau,0
lanjutkan !!,lanjut,0
tingkatkan,tingkat,0
cara mengajarnya lebih rinci dan jelas lagi !,cara ajar lebih rinci jelas,0
baik,baik,1
harus lebih memberikan contoh soal,lebih beri contoh soal,0
metode pengajarannya harus lebih jelas lagi,metode ajar lebih jelas,0
semoga ilmunya bermanfaat,moga ilmu manfaat,1
Dari segi pengajaran sudah bagus !! Akan tetapi pemberian materinya agak rumit sehingga sulit dipahami. Dan pada saat UAS soalnya jangan terlalu sulit,segi ajar bagus tetapi beri materi rumit sulit paham pada uas soal jangan terlalu sulit,0
memberikan materi lebih dan murah memberi nilainya,beri materi lebih murah beri nilai,1
memberikan materi agar lebih jelas lagi,beri materi lebih jelas,1
"lebih murah mamberi nilainya, lebih jelas lagi mengajarnya",lebih murah mamberi nilai lebih jelas ajar,0
Tugas diperbanyak lagi Pak !! UAS nya soal use case yha..Pak yang dikeluarin (Jangan pelit nilai Pak),tugas banyak pak uas nya soal use case yha pak dikeluarin jangan pelit nilai pak,1
tolong kalao mengajar jangan terlalu cepat,kalao ajar jangan terlalu cepat,0
tingkatkan lagi pelayanannya,tingkat layan,0
Good Job,good job,0
kurang tepat waktu ...,kurang tepat waktu,0
Mantap !!,mantap,1
dalam memberikan materi beliau sangat baik hanya saja ada kalanya mahasiswa dibingungkan. sabar dalam membimbing ya pak,beri materi beliau sangat baik saja kala mahasiswa bingung sabar bimbing pak,1
pada saat memberikan matri di selingi sengan candaan agar mahasiswa tidak terlalu merasa bosan.,saat beri matri seling seng canda mahasiswa terlalu rasa bosan,0
Good job,good job,0
"kalau ngajar yang enak dilihat pak, nilai sulit nagajar masak sulit",kalau ngajar enak lihat pak nilai sulit nagajar masak sulit,1
jangan terlalu cepat menyampaikan materi,jangan terlalu cepat materi,0
lebih jelas cara menjelaskan,lebih jelas cara jelas,0
"Jadilah selalu yang terbaik bu, karena ajaranmu adalah tuntunan buat kami",jadi selalu baik bu ajar tuntun buat,1
walaupun matakuliah ini cukup sulit tapi mudah-mudahan yang bapak sampaikan dapat berguna bagi kami kelak nanti.,walaupun matakuliah cukup sulit mudah bapak dapat bagi kelak,0
agar lebih membahas soal tidak sekedar membaca slade yang ada,lebih bahas soal dar baca slade ada,0
Tingkatkan...... Menuju UAD yang berprestasi,tingkat tuju uad prestasi,0
menjelaskan dengan latihan soal ,jelas latih soal,0
dapat meningkatkan motivasi para mahasiswanya,tingkat motivasi mahasiswa,0
good job,good job,0
"Mungkin ibu terlalu lelah, sehingga terlihat kurang bersemangat dalam menyampaikan materi",mungkin ibu terlalu lelah lihat kurang semangat sampai materi,0
Terimakasih,terimakasih,0
TOP,top,1
Supaya Lebih pelan cara menjelaskan,lebih pelan cara jelas,0
Materi yang dijelaskan dapat dipahami mahasiswa. Terkadang agak tegang di Rung Kuliah dan tegas saya suka dan mendidik semangat buat bu dosen menghadapi mahasiswa semangat buat bu dosen menghadapi mahasiswa seperti kita ,materi jelas paham mahasiswa terkadang tegang rung kuliah tegas suka didik semangat buat bu dosen hadap mahasiswa semangat buat bu dosen hadap mahasiswa kita,0
"Lebih menyesuaikan diri dalam memberi mata kuliha, rileks,santai dan ibu jangan bikin tegang",lebih sesuai diri beri mata kuliha rileks santai ibu jangan bikin tegang,1
jangan terlalu cepat dalam menyampaikan materi,jangan terlalu cepat sampai materi,0
Baik semua,baik semua,1
Penyampaiannya kecepatan bu,cepat bu,0
Menjelaskan materi terlalu cepat,jelas materi terlalu cepat,0
lebih sering memberikan contoh soal,lebih sering beri contoh soal,1
Rajin belajar,rajin ajar,0
Saya Pikir ini cara belajar yang baik,pikir cara ajar baik,0
be the best for the best,be the best for the best,1
Semakin banyak berikan penjelasan yang deatail,makin banyak ikan jelas deatail,1
Good Job,good job,0
kalau menjelaskan pelan-pelan agar mehasiswa mudah dan dapat di pahami,kalau jelas pelan mehasiswa mudah dapat paham,0
"Cara ngajar sudah cukup baik, pembahasan soal dituntaskan trimakasih",cara ngajar cukup baik bahas soal tuntas trimakasih,1
Good job,good job,0
kalau ngajar agak pelan dikit jangan buru-buru,kalau ngajar pelan dikit jangan buru,0
Kalau menurut saya sih kurang nya cuman Ibu dosennya kurang memberikan tugas di rumah kepada mahasiswa,kalau turut sih kurang nya cuman ibu dosen kurang beri tugas rumah mahasiswa,0
lebih diperjelas lagi dalam mengajar,lebih jelas dalam ajar,0
dalam memberikan pelajaran jangan terlalu cepat ya pak !,beri ajar jangan terlalu cepat pak,0
"pak kalo menulis di papan tulis jangan cepat-cepat, dan juga tulisan kurang jelas",pak kalo tulis papan tulis jangan cepat juga tulis kurang jelas,0
Dalam menyampaikan materi terlalu cepat,sampai materi terlalu cepat,0
cara mengajar terlalu cepat,cara ajar terlalu cepat,0
jangan terlalu cepat menyampaikan materi,jangan terlalu cepat materi,0
"Aku suka cara mengajar ibu salamah serius, tenang, slow tapi Pasti",aku suka cara ajar ibu salamah serius tenang slow pasti,1
Terlalu cepat saat mengajar Bu! usah itu saja ...,terlalu cepat ajar bu usah saja,0
"tolong saat mengajar jangan terlalu cepat ! lebih murah lagi dong memberi nilainya,",saat ajar jangan terlalu cepat lebih murah dong beri nilai,0
Suka car mengajarnya,suka car ajar,0
Cara penyampaian materi dan penjelasan secara cepat..,cara materi jelas cara cepat,0
waktu mengajar kami selalu cepat paham,waktu ajar selalu cepat paham,0
Menjelaskannya terlalu cepat,jelas terlalu cepat,0
"Sudah cukup bagi saya, sudah menyenangkan..., super sekali",cukup saya senang super sekali,0
"tempo pengajaran/penyampaian materi agak diperlambat, agar mahasiswa bisa mengerti",tempo ajar materi lambat mahasiswa erti,0
Top pak,top pak,1
"kedepannya lebih baik lagi, supaya mahasiswa dapat memahami materi",depan lebih baik supaya mahasiswa paham materi,1
Tingkatkan mutu proses pembelajaran,tingkat mutu proses ajar,0
tingkatkan lagi cara mengajar,tingkat cara ajar,0
Tidak membuat mhs.merasa tegang dan jika mhs. tidak dapat mengerjakan dengan baik di depan kelas maka diberi arahan yang jelas sehingga dapat mengerjakan dan mengingatnya,buat mhs rasa tegang jika mhs dapat kerja baik depan kelas beri arah jelas dapat kerja ingat,1
Diharapkan ibu tidak terlalu cepat mengganti Slide satu kesyang lain,harap ibu terlalu cepat ganti slide satu kesyang,0
lebih ditingkatkan lagi cara mengajarnya dan lebih santai dalam mengajarnya,lebih tingkat cara ajar lebih santai ajar,0
Pergantian slide power poin tidak terlalu cepat,ganti slide power poin terlalu cepat,0
ibu hebat,ibu hebat,1
Sip,sip,0
Ibu it's the best...,ibu it s the best,1
"Ketika menjelaskan tidak terlalu cepat, khususnya pada saat penampilan Slidenya",jelas terlalu cepat khusus saat tampil slidenya,0
Praktikumnya didasari dengan laporan !!,praktikum dasar lapor,0
Dalam menerangkan lebih semangat dan lebih jelas lagi ya bu...,terang lebih semangat lebih jelas ya bu,1
Bisa lebih semangat dan sabar dalam menghadapi mahasiswa yang kurang dalam pemahaman,lebih semangat sabar hadap mahasiswa kurang paham,0
Kalkulus itu nyata tapi sulit dipahami mohon bimbingannya ya bu,kalkulus nyata sulit paham mohon bimbing bu,0
Semangat Bu.. buat kedepannya jadilah dosen yang baik dan sabar ngadepin kita...,semangat bu buat depan jadi dosen baik sabar ngadepin,1
Bantu mahasiswa yang nilainya kurang,bantu mahasiswa nilai kurang,0
Bu mungkin metode yang cocok untuk kita serius tapi santai Jadi sabar Buk...,bu mungkin metode cocok kita serius santai jadi sabar buk,1
"Sabar Bu..., mungkin kita susah nangkep pelajarannya tapi ibu super sekali, dengan kersabaran mu pasti berguna bagi kita semua..",sabar bu mungkin susah nangkep ajar ibu super sekali kersabaran mu guna kita semua,0
Lebih semangat lagi dalam pengajarannya ya Bu.. Jangan mudah mengeluh dan jangan menyerah...,lebih semangat dalam ajar bu jangan mudah keluh jangan serah,1
Iya,iya,0
Agak sulit mengerti dalam belajar di kelas,sulit erti ajar kelas,0
"Sudah cukup baik bu, hanya saja tolong mahasiswa diberi kesempatan untuk menulis terlebih dahulu baru menerangkan",cukup baik bu saja mahasiswa beri sempat tulis lebih baru terang,1
Jangqan terlalu cepat dalm penyampaian materi,jangqan terlalu cepat dalm materi,0
Jangan terlalu cepat memberikan materi,jangan terlalu cepat beri materi,0
"Saat jam pelajaran berlangsung, cara pengajaran/penyampaiannya sedikit dibuat pelan",jam ajar langsung cara ajar sedikit buat pelan,0
Diharap semakin lebih baik lagi,harap makin lebih baik,1
"soal jangan beda jauh dengan contoh, karena tidak semua mahasiswa mempunyai otak yang cerdas.",soal jangan beda jauh contoh tidak semua mahasiswa punya otak cerdas,0
tingkatkan,tingkat,0
pertahankan,tahan,0
hebat,hebat,1
terlalu sering terlambat...,terlalu sering lambat,0
soal UAS jangan terlalu sulit,soal uas jangan terlalu sulit,0
jangan pelit nilai,jangan pelit nilai,1
jangan pelit nilai bu,jangan pelit nilai bu,1
jangan pelit nilai ya bu..,jangan pelit nilai bu,1
jangan pelit-pelit ngasih nilai,jangan pelit ngasih nilai,1
Maaf pak kaluamasuk pagi kadang telat,maaf pak kaluamasuk pagi kadang telat,1
Belajar diawali dg memahami konsep terlebih dahulu,ajar awal dg paham konsep lebih,0
Good,good,0
Terimakasih,terimakasih,0
Coba untuk meningkatkan minat belajar mahasiswa anda pak ...terimakasih,coba tingkat minat ajar mahasiswa pak terimakasih,0
"Jangan kebanyakan tugas bu , makasih",jangan banyak tugas bu makasih,0
Lanjutkan,lanjut,0
"Cara menjelaskan berbeda dg asisten, Bu arfi sangat jelas, asisten banyak yg tidak sinkron, jadi malah amburadul pemahamannya",cara jelas beda dg asisten bu arfi sangat jelas asisten banyak yg sinkron jadi malah amburadul paham,0
"Sudah bagus bu, teruskan, lebih enak menjelaskannya dari pada asisten yang nyalahin saja, soalnya kurang sinkron antara asisten dgn dosennya, tugas dikelas sudah benar, tapi asisten malah disalahkan",bagus bu terus lebih enak jelas pada asisten nyalahin soal kurang sinkron asisten dgn dosen tugas kelas benar asisten malah salah,1
Semangat,semangat,1
Diperjelas Perincian materinya pak..,jelas perinci materi pak,1
Lebih murah memeberi nilai,lebih murah memeberi nilai,0
"Kurang senyum, senyum itu ibadadah",kurang senyum senyum ibadadah,1
Tingkatkan pak!!,tingkat pak,1
Bagus!!!!,bagus,1
Semangat,semangat,1
Materinya jangan banyak2 pak..,materi jangan banyak2 pak,1
Terima kasih bapak,terima kasih bapak,1
Buagusss...,buagusss,0
Makasih bapak,makasih bapak,0
Baik,baik,1
Kalau jelaskan yg jelas biar mudah dimengerti.,kalau jelas yg jelas biar mudah erti,0
