"komentar","sentimen","preprocessing_result"
"Lebih bagus lagi ya masuknya","0","lebih bagus lagi ya masuk"
"keren","0","keren"
"kurang tegas bu","0","kurang tegas bu"
"yayayaya","0","yayayaya"
"Bapaknya kurang jelas wktu menerangkan dan tidak ada yang paham","0","bapak kurang jelas wktu terang dan tidak ada yang paham"
"bikin semangat belajar logika","0","bikin semangat ajar logika"
"Lebih tegas dan tepat waktu lagi","0","lebih tegas dan tepat waktu lagi"
"Kelasnya dikondisikan Pak","0","kelas kondisi pak"
"saya suka dengan mengajar belia yg selalu merespon mhsw dengan baik","0","saya suka dengan ajar belia yg selalu merespon mhsw dengan baik"
"good and perfek","2","good and perfek"
"tidak ada","0","tidak ada"
"Pak eko top","2","pak eko top"
"materinya sudah dimengerti","0","materi sudah erti"
"Kurang asyik","0","kurang asyik"
"Saya suka cara mengajarnya","0","saya suka cara ajar"
"sudah cukup baik cuman setelah memberikan soal harus dibahas sampai detail","0","sudah cukup baik cuman telah beri soal harus bahas sampai detail"
"pada jam kuliah sy harapkan selalu tepat waktu krn sering terlambat","0","pada jam kuliah sy harap selalu tepat waktu krn sering lambat"
"harus bisa membuat mhsw paham dgn materi yg diajarkan","0","harus bisa buat mhsw paham dgn materi yg ajar"
"pada pejelsan materi harus diperjelas","0","pada pejelsan materi harus jelas"
"dipertegas","0","tegas"
"Tingkatkan","0","tingkat"
"menjelaskan materi dgn cara dan contoh yg jelas dan mudah dipahami","0","jelas materi dgn cara dan contoh yg jelas dan mudah paham"
"Tetap semangat","0","tetap semangat"
"jangan pelit nilai","0","jangan pelit nilai"
"Jangan pelit nilai","0","jangan pelit nilai"
"no comen","2","no comen"
"Lebih jelas dan tegas lagi dlm menyampaikan materinya.","0","lebih jelas dan tegas lagi dlm sampai materi"
"Bpknya kurang tepat waktu,...","0","bpknya kurang tepat waktu"
"kelas harus lebih fun agar tidak kaku","0","kelas harus lebih fun agar tidak kaku"
"i love you","0","i love you"
"masih banyak yg ngantuk","0","masih banyak yg ngantuk"
"mempertahankan susana kelas seperti ini atau ditingkan","0","tahan susana kelas seperti ini atau ting"
"buat kelas menjadi lebih lucu anak anak gak ngantuk","0","buat kelas jadi lebih lucu anak anak gak ngantuk"
"bpk sangat menguasai materi","0","bpk sangat kuasa materi"
"mata kuliah yg mantab saya suka dosenya juga asyik","0","mata kuliah yg mantab saya suka dosenya juga asyik"
"kelas perlu diberi AC","0","kelas perlu beri ac"
"cukup baik apalagi dalam member masukan thd mhsw","0","cukup baik apalagi dalam member masuk thd mhsw"
"lebih banyak member conto contoh","0","lebih banyak member conto contoh"
"sangat baik tingkatakan","0","sangat baik tingkatakan"
"Dibanyakin sering ngerjakan soal soal.","0","dibanyakin sering ngerjakan soal soal"
"Tingkatkan lebih baik lg pak....","0","tingkat lebih baik lg pak"
"Berikan contoh yg lain jgn hanya yg ada di slide.. kadang penjelasan kurang jelas,...","0","ikan contoh yg lain jgn hanya yg ada di slide kadang jelas kurang jelas"
"Mungkin lbh keras lagi dalam menjelaskan..","0","mungkin lbh keras lagi dalam jelas"
"Semangat pak imam!!!","0","semangat pak imam"
"Sudah cukup baik, tolon kalau UTS / UAS soalnya jangan yg tidak ada di buku ya pak!!","0","sudah cukup baik tolon kalau uts uas soal jangan yg tidak ada di buku ya pak"
"Penjelasannya yg lebih bisa dimengerti..","0","jelas yg lebih bisa erti"
"Yang disampaikan kadang kurang dipahami..","0","yang sampai kadang kurang paham"
"Kalau menjelaskan materinya terlalu terserah jawabannya..","0","kalau jelas materi terlalu serah jawab"
"Sebaiknya bapak lebih tegas thd mhs yg berisik..","0","baik bapak lebih tegas thd mhs yg berisik"
"Tolong studi islam A dan B dipisah agar bapak ngomongnya diperhatikan..","0","tolong studi islam a dan b pisah agar bapak ngomongnya perhati"
"Kelas tidak usang digabung biar kondusif ya pak..","0","kelas tidak usang gabung biar kondusif ya pak"
"Semoga lebih tegas..","0","moga lebih tegas"
"Tingkatkan pak!!!","0","tingkat pak"
"Tingkatkan cara mengajarmu Pak","0","tingkat cara ajar pak"
"Lebih meningkatkan minat belajar untuk mahasiswa","0","lebih tingkat minat ajar untuk mahasiswa"
"Tugas dikumpul dan dibagikan","0","tugas kumpul dan bagi"
"Harapan saya bukan hanya Penilaian Mhs. kepada Dosen saja, namun juga penilaian Mhs.kepada atribut dan pelayanan  Prodi, Fakultas dan Kampus serta tolong di urus dosen yang tidak masuk dan mengganti jam Perkuliahan tanpa Sosialisasi kepada Mahasiswa","0","harap saya bukan hanya nilai mhs kepada dosen saja namun juga nilai mhs kepada atribut dan layan prodi fakultas dan kampus serta tolong di urus dosen yang tidak masuk dan ganti jam kuliah tanpa sosialisasi kepada mahasiswa"
"Bagus pak tetap lanjutkan menggunakan 2 bahasa supaya memotifasi Dosen yang lain","0","bagus pak tetap lanjut guna 2 bahasa supaya memotifasi dosen yang lain"
"Ngantuk","0","ngantuk"
"Baik","0","baik"
"nothing","0","nothing"
"Sebaiknya contoh yang diberikan lebih jelas, karena mahasiswa bisa mengetahui bentuk yang dicontohkan","0","baik contoh yang beri lebih jelas karena mahasiswa bisa tahu bentuk yang contoh"
"Terimakasih atas Pengapdianmu","0","terimakasih atas pengapdianmu"
"dalam meyampaikan materi jgn bertele tele","0","dalam meyampaikan materi jgn tele tele"
"good job","2","good job"
"semoga jadi individu yg lebih baik lagi","0","moga jadi individu yg lebih baik lagi"
"tetap semangat ya bu","0","tetap semangat ya bu"
"tetap semangat ya bu","0","tetap semangat ya bu"
"semangat terus ya bu ngajarnya","0","semangat terus ya bu ngajarnya"
"kalau bisa ketika mengajar tlg diulang kembali agar yg gak tau bisa tau kembali","0","kalau bisa ketika ajar tlg ulang kembali agar yg gak tau bisa tau kembali"
"jangan terlalu fulgar","0","jangan terlalu fulgar"
"semangat pak","0","semangat pak"
"sangat menyenangakan","0","sangat menyenangakan"
"kadang kosong suka telat tapi tugasnya tidak memberatkan","0","kadang kosong suka telat tapi tugas tidak berat"
"lanjukan dan tingkatkan","0","lanjuk dan tingkat"
"tanda tangan 4 kali sekaligus tidak ada pengganta atau tugas dari dosen jam kuliah terbuang siasia","0","tanda tangan 4 kali sekaligus tidak ada pengganta atau tugas dari dosen jam kuliah buang siasia"
"Harapan kedepannya bapak bis alebih mengusasi kelas agar lebih nyaman belajar mengajarnya.","0","harap depan bapak bis alebih mengusasi kelas agar lebih nyaman ajar ajar"
"Dosen Faforit..","0","dosen faforit"
"Kami mengucapkan terima kasih.","0","kami ucap terima kasih"
"Ubah cara mengajar agar mhs lebih mengerti.","0","ubah cara ajar agar mhs lebih erti"
"Perbanyak dosen seperti ini..","0","banyak dosen seperti ini"
"Cara mengajar dosen cukup baik tp tidak meningkatkan minat mhs sehingga kebanyakan dari kami kurang memahami.","0","cara ajar dosen cukup baik tp tidak tingkat minat mhs sehingga banyak dari kami kurang paham"
"Bagus dan tingkatkan..","0","bagus dan tingkat"
"Perlu dicontoh sbg dosen teladan bg mhs dan dosen lainnya.","0","perlu contoh sbg dosen teladan bg mhs dan dosen lain"
"materi 3 demensinya ditambahi pak","0","materi 3 demensinya tambah pak"
"Ibu Kartika sangat tegas tp lembut, mengajar cukup jelas.","0","ibu kartika sangat tegas tp lembut ajar cukup jelas"
"Saya suka dg sikap disiplin ibu. saya harap dosen yg lain jg spt ini.","0","saya suka dg sikap disiplin ibu saya harap dosen yg lain jg spt ini"
"Cukup baik dlm hal kedisiplina.","0","cukup baik dlm hal kedisiplina"
"Sebelum praktikum berlangsung setidaknya diberikan teori dulu agar mhs mudah memahami materinya.","0","belum praktikum langsung tidak beri teori dulu agar mhs mudah paham materi"
"Sebaiknya utk praktikum , teori ttg software lebih dijelaskan lagi.","0","baik utk praktikum teori ttg software lebih jelas lagi"
"Sangat baik dalam memberi materi dan dapat memotifasi mhs.","0","sangat baik dalam beri materi dan dapat memotifasi mhs"
"Diharapkan dosen tetap spt ini.","0","harap dosen tetap spt ini"
"Lebih inovatif, ada motivasi yg diselipkan pada saat pembelajaran.","0","lebih inovatif ada motivasi yg selip pada saat ajar"
"Good Dosen , pertahankan","2","good dosen tahan"
"Tolong perhatikan fasilitas di kelas, mata kiliah ini LCDnya rusak","0","tolong perhati fasilitas di kelas mata kiliah ini lcdnya rusak"
"Semoga semakin sukses","0","moga makin sukses"
"Pertahankan pak Andang di UAD","0","tahan pak andang di uad"
"When the teach its so very nice","2","when the teach its so very nice"
"Pertahankan dosen yang kaya gini, wawasan teknologinya luas menginspirasi","0","tahan dosen yang kaya gin wawas teknologi luas inspirasi"
"jangan terpaku pada ppt","0","jangan terpa pada ppt"
"perbaiki cara mengajar","0","baik cara ajar"
"Ibu dosen orangnya sabar..","0","ibu dosen orang sabar"
"Lebih tepat waktu dalam memulai perkuliahan.","0","lebih tepat waktu dalam mulai kuliah"
"Usahakan tepat waktu ..","0","usaha tepat waktu"
"Semoga semakin membaik dan lebih baik lagi.","0","moga makin baik dan lebih baik lagi"
"Dosen sangat menguasai.","0","dosen sangat kuasa"
"bapak mengajarnya lebih semangat dan senyum","0","bapak ajar lebih semangat dan senyum"
"ketika menjelaskan materi suara lebih jelas","0","ketika jelas materi suara lebih jelas"
"jangan terlalu cepat menjelaskan materi","0","jangan terlalu cepat jelas materi"
"Semangat ibu cantik.","0","semangat ibu cantik"
"dosen cukup baik, sangat baik untuk dipertahankan","0","dosen cukup baik sangat baik untuk tahan"
"pertahankan karna dosenya enak pak","0","tahan karna dosenya enak pak"
"perbanyak tugas di kelas","0","banyak tugas di kelas"
"mengajarnya lebih semangat...","0","ajar lebih semangat"
"pertahankan dan beri dukungan untuk bapak taufiq ismail...","0","tahan dan beri dukung untuk bapak taufiq ismail"
"Ibu baik deh,,, nilai UAS dibantu dong!!","0","ibu baik deh nilai uas bantu dong"
"tingkatkan lagi dalam mengajar","0","tingkat lagi dalam ajar"
"suaranya jangan terlalu pelan pak !","0","suara jangan terlalu pelan pak"
"suaranya waktu mengejelasin jangan terlalu lembut","0","suara waktu mengejelasin jangan terlalu lembut"
"Pokoknya Siiippp!!!!","0","pokok siiippp"
"jarang ada tugas","0","jarang ada tugas"
"sebaiknya dosen melakukan sesuatu hal yang dapat menambah keasikan dalam belajar mengajar. agar mhs tdk mengantuk, krn jam belajar yg disiang hari","0","baik dosen laku sesuatu hal yang dapat tambah asi dalam ajar ajar agar mhs tdk antuk krn jam ajar yg siang hari"
"Semangat Bu","0","semangat bu"
"pahami situasi kelas, agar mhs mampu berinteraksi dengan dosen sehingga terciptanya situasi kelas yg kondusif","0","paham situasi kelas agar mhs mampu interaksi dengan dosen sehingga cipta situasi kelas yg kondusif"
"perlu ditingkatkan.","0","perlu tingkat"
"memberikan referensi buku perkuliahan","0","beri referensi buku kuliah"
"bicaranya tolong dikerasin pak, terus di tegur mhs yang pada ribut.","0","bicara tolong dikerasin pak terus di tegur mhs yang pada ribut"
"tingkatkan lagi kinerjanya","0","tingkat lagi kerja"
"lebih baik lagi kedepannya","0","lebih baik lagi depan"
"sudah bagus","2","sudah bagus"
"Jangan pelit nilai buk !","0","jangan pelit nilai buk"
"ok","2","ok"
"tetaplah seperti ini !!","0","tetap seperti ini"
"lebih menggunakan contoh-contoh yg mudah dipahami","0","lebih guna contoh yg mudah paham"
"terlalu banyak tugas !!!! materi yang disampaikan sulit dimengerti","0","terlalu banyak tugas materi yang sampai sulit erti"
"selain teori, praktek dikelas perlu dilakukan","0","selain teori praktek kelas perlu laku"
"selain teori, praktek dikelas perlu.","0","selain teori praktek kelas perlu"
"Kurang jelas kurang minat ikut kuliahnya.","0","kurang jelas kurang minat ikut kuliah"
"tetep gokil pak!!","0","tetep gokil pak"
"kebanyakan tugas ga jelas !!!","0","banyak tugas ga jelas"
"prakteknya diseringkan lagi","0","praktek sering lagi"
"tolong setiap ruang diberi AC","0","tolong tiap ruang beri ac"
"sangat baik","0","sangat baik"
"bu Reni istimiwir!!!","0","bu reni istimiwir"
"Jangan pelit nilai yaa buk","0","jangan pelit nilai yaa buk"
"kuasaii kelas","0","asai kelas"
"penjelasan materi kurang mengerti, jd banyak yg belum paham","0","jelas materi kurang erti jd banyak yg belum paham"
"lebih menguasai materi dan dpt menjelaskan dengan baik, karena kadang penjelasannya membingungkan sehingga tidak dapat dimengerti","0","lebih kuasa materi dan dpt jelas dengan baik karena kadang jelas bingung sehingga tidak dapat erti"
"jangan matiin ACnya dong","0","jangan matiin acnya dong"
"Anya kadang-kadang mati","0","anya kadang mati"
"ruangannya ACnya kadang-kadang mati","0","ruang acnya kadang mati"
"Jika mahasiswa tidak kumpul tugas jangan suruh keluar jadi tidak bisa absen padahal sudah masuk","0","jika mahasiswa tidak kumpul tugas jangan suruh keluar jadi tidak bisa absen padahal sudah masuk"
"Semangat belajar mhs berawal dari keseriusan dosen dalam mengajar.","0","semangat ajar mhs awal dari serius dosen dalam ajar"
"ganti dosen, sebab dosen tidak menguasai materi bila ditanya hanya dapat mengelak, menjawab tidak jelas","0","ganti dosen sebab dosen tidak kuasa materi bila tanya hanya dapat elak jawab tidak jelas"
"cara pembelajarannya tidak mengenakkan","0","cara ajar tidak enak"
"ACnya tambah satu lagi","0","acnya tambah satu lagi"
"jangan matiin ACnya saat perkuliahan berlangsung","0","jangan matiin acnya saat kuliah langsung"
"seharusnya dosen menguasai materi yang akan diberikan","0","harus dosen kuasa materi yang akan beri"
"Kurangi revisi pak!!","0","kurang revisi pak"
"Jangan ada revisi lagi ya pak....","0","jangan ada revisi lagi ya pak"
"Kurang memotivasi mahasiswa untuk lebih giat belajar","0","kurang motivasi mahasiswa untuk lebih giat ajar"
"pertahankan bhkan kalau bisa ditingkatkan lebih baik lagi","0","tahan bhkan kalau bisa tingkat lebih baik lagi"
"bangun suasana yang nyaman agar mhs mudah menerima materi","0","bangun suasana yang nyaman agar mhs mudah terima materi"
"Tugasnya jangan banyak2 pak. kebanyakan lembur.","0","tugas jangan banyak2 pak banyak lembur"
"mungkin lebih ditingkatkan kinerja seperti pemberian soal jangan yang susah ada jawabannya di buku paket","0","mungkin lebih tingkat kerja seperti beri soal jangan yang susah ada jawab di buku paket"
"- ","0","-"
"jangan terlalu pilih-pilih","0","jangan terlalu pilih"
"jangan pilih kasih","0","jangan pilih kasih"
"Ibu harus lebih tegas dan menjelaskan lebih jelas dan rinci menberikan contoh soal yang susah","0","ibu harus lebih tegas dan jelas lebih jelas dan rinci menberikan contoh soal yang susah"
"pak, kalau bisa jangan pilih-pilih kasih","0","pak kalau bisa jangan pilih kasih"
"lanjutkan","2","lanjut"
"pak cara komen gmn ya?","0","pak cara komen gmn ya"
"Koreksi harap dikembalikan agar mhs semangat lagi utk lembur.","0","koreksi harap kembali agar mhs semangat lagi utk lembur"
"Nilai UT kenapa cuma terdiri dari 3 angka ?","0","nilai ut kenapa cuma diri dari 3 angka"
"Sesuai syariat Islam","0","sesuai syariat islam"
"Lebih dilatih cara mengajar yang komunikatif","0","lebih latih cara ajar yang komunikatif"
"Lebih meningkatkan komunikasi dengan mahasiswa","0","lebih tingkat komunikasi dengan mahasiswa"
"Revis terus pak jadi begadang terus aku pak!!","0","revis terus pak jadi begadang terus aku pak"
"Lebih Komunikatif kepada mahasiswa dalam mengajar, cara mengajar kurangdimengerti oleh mahasiswa","0","lebih komunikatif kepada mahasiswa dalam ajar cara ajar kurangdimengerti oleh mahasiswa"
"Lebih ditingkatkan lagi kinerjanya","0","lebih tingkat lagi kerja"
"Tugas terlalu banyak buat kami kurang tidur.","0","tugas terlalu banyak buat kami kurang tidur"
"tingkatkan","0","tingkat"
"OK fix","2","ok fix"
"Dosen perlu diganti","0","dosen perlu ganti"
"lebih menguasai materi lagi","0","lebih kuasa materi lagi"
"Mahasiswa  yang tidak fokus saat belajar di ruangan harus diberi pengertian, mungkin dengan jam tambahan diluar matakuliah","0","mahasiswa yang tidak fokus saat ajar di ruang harus beri erti mungkin dengan jam tambah luar matakuliah"
"contoh yg diberikan diperbanyak ya pak, praktikumnya diperhatikan lagi","0","contoh yg beri banyak ya pak praktikum perhati lagi"
"dosen terllalu fulgar/perlu diganti","0","dosen terllalu fulgar perlu ganti"
"share pengalaman prospek mobile...","0","share alam prospek mobile"
"Jarang memberi tugas. Materi disampaikan seperti Khotbah","0","jarang beri tugas materi sampai seperti khotbah"
"cara mengajar diberi inovasi dan semoga dapat meningkatkan semangat belajar buat mahasiswa","0","cara ajar beri inovasi dan moga dapat tingkat semangat ajar buat mahasiswa"
"lebih memotivasi agar belajarnya kebih ditingkatkan lagi !!!","0","lebih motivasi agar ajar kebih tingkat lagi"
"Perbanyak tugas dan latihan","0","banyak tugas dan latih"
"dipertahankan ya!","0","tahan ya"
"Aku sih yess!!","0","aku sih yess"
"dipertahankan ya bu...","0","tahan ya bu"
"bagus bu...","0","bagus bu"
"genius...","0","genius"
"mantap dan saya suka","0","mantap dan saya suka"
"materi yang diberikan sudah sangat jelas namun sumber referensi harus jelas juga","0","materi yang beri sudah sangat jelas namun sumber referensi harus jelas juga"
"i love you bu nia...","0","i love you bu nia"
"cara mengajarnya sangat bisa membuat mhs mengerti","0","cara ajar sangat bisa buat mhs erti"
"top markotop lah...","2","top markotop lah"
"i miss you","0","i miss you"
"Saya harap ibu dapat menjelaskan atau memberikan contoh menggunakan papan tulis untuk yang paling utama jangan terlalu sering menggunakan slide.","0","saya harap ibu dapat jelas atau beri contoh guna papan tulis untuk yang paling utama jangan terlalu sering guna slide"
